연번,호선,역명,장비,호기,승강기번호,운행구간(공사기준),설치위치,운행구간(자체조사)
623,5,화곡,E/S,4,1810-194,F1-B1,외부,대합(B1)-지상(#3 출구)
624,5,까치산,E/S,1,1807-670,B1-B5,내부,상/시점(B5)-대합(B1)
625,5,까치산,E/S,2,1807-671,B1-B5,내부,상/시점(B5)-대합(B1)
626,5,까치산,E/S,3,1808-073,B1-B5,내부,하/시점(B5)-대합(B1)
627,5,까치산,E/S,4,1808-074,B1-B5,내부,하/시점(B5)-대합(B1)
628,5,까치산,E/S,5,1807-711,B1-B5,내부,상/종점(B5)-대합(B1)
629,5,까치산,E/S,6,1807-712,B1-B5,내부,상/종점(B5)-대합(B1)
630,5,까치산,E/S,7,1808-077,B1-B5,내부,하/종점(B5)-대합(B1)
631,5,까치산,E/S,8,1808-078,B1-B5,내부,하/종점(B5)-대합(B1)
632,5,까치산,E/S,9,1808-079,F1-B1,외부,대합(B1)-지상(#1 출구)
633,5,까치산,E/S,10,1808-080,F1-B1,외부,대합(B1)-지상(#1 출구)
634,5,까치산,E/S,11,1804-466,F1-B1,외부,대합(B1)-지상(#3 출구 측)
635,5,까치산,E/S,12,1804-467,F1-B1,외부,대합(B1)-지상(#3 출구 측)
636,5,신정,E/S,1,1811-085,B2-B3,내부,상/시점(B3)-대합(B2)
637,5,신정,E/S,2,1811-086,B2-B3,내부,상/시점(B3)-대합(B2)
638,5,신정,E/S,3,1811-087,B2-B3,내부,하/시점(B3)-대합(B2)
639,5,신정,E/S,4,1811-088,B2-B3,내부,하/시점(B3)-대합(B2)
640,5,신정,E/S,5,1808-065,B2-B1,내부,시/대합(B2)-대합(B1)
641,5,신정,E/S,6,1808-066,B2-B1,내부,시/대합(B2)-대합(B1)
642,5,신정,E/S,7,1808-069,BM1-B1,내부,B1-BM1
643,5,신정,E/S,8,1808-070,BM1-B1,내부,B1-BM1
644,5,신정,E/S,9,1808-067,F1-BM1,외부,BM1-지상(#1 출구)
645,5,신정,E/S,10,1808-068,F1-BM1,외부,BM1-지상(#1 출구)
646,5,목동,E/S,1,1804-711,F1-B1,외부,대합(B1)-지상(#1 출구)
647,5,목동,E/S,2,1804-712,F1-B1,외부,대합(B1)-지상(#1 출구)
648,5,목동,E/S,3,1814-777,F1-B1,외부,F1-B1
649,5,목동,E/S,4,1814-778,B1-F1,외부,B1-F1
